v8 Active Learning — Top Uncertain Samples
=======================================================
Scored 1308 pool samples (average margin across 4 quadrants)

Rank  Score    Sample
 167. 0.6017 QTP_Wetland_2020_chip_02078_lc2_G05_12_tp0518
 168. 0.6010 QTP_Wetland_2020_chip_01138_lc0_G30_09_tp0518
 169. 0.6007 QTP_Wetland_2020_chip_01117_lc1_G32_09_tp0518
 170. 0.6002 QTP_Wetland_2020_chip_01366_lc1_G29_09_tp0518
 171. 0.6002 QTP_Wetland_2020_chip_01353_lc0_G27_09_tp0518
 172. 0.5996 QTP_Wetland_2020_chip_00682_lc0_G32_07_tp0518
 173. 0.5994 QTP_Wetland_2020_chip_00757_lc3_G28_07_tp0518
 174. 0.5993 QTP_Wetland_2020_chip_01394_lc1_G27_09_tp0518
 175. 0.5993 QTP_Wetland_2020_chip_01537_lc0_G29_10_tp0518
 176. 0.5988 QTP_Wetland_2020_chip_01570_lc0_G13_10_tp0518
 177. 0.5980 QTP_Wetland_2020_chip_01807_lc2_G23_10_tp0518
 178. 0.5972 QTP_Wetland_2020_chip_01417_lc3_G31_09_tp0518
 179. 0.5968 QTP_Wetland_2020_chip_02002_lc2_G32_12_tp0518
 180. 0.5967 QTP_Wetland_2020_chip_01996_lc1_G22_12_tp0518
 181. 0.5967 QTP_Wetland_2020_chip_01214_lc0_G31_09_tp0518
 182. 0.5965 QTP_Wetland_2020_chip_00971_lc3_G08_08_tp0518
 183. 0.5960 QTP_Wetland_2020_chip_01587_lc0_G29_10_tp0518
 184. 0.5957 QTP_Wetland_2020_chip_02005_lc1_G32_12_tp0518
 185. 0.5947 QTP_Wetland_2020_chip_01893_lc2_G22_11_tp0518
 186. 0.5947 QTP_Wetland_2020_chip_00527_lc0_G20_06_tp0518
 187. 0.5941 QTP_Wetland_2020_chip_00729_lc3_G28_07_tp0518
 188. 0.5941 QTP_Wetland_2020_chip_01758_lc2_G14_10_tp0518
 189. 0.5939 QTP_Wetland_2020_chip_01110_lc0_G35_08_tp0518
 190. 0.5932 QTP_Wetland_2020_chip_02102_lc2_G30_13_tp0518
 191. 0.5932 QTP_Wetland_2020_chip_01258_lc3_G31_09_tp0518
 192. 0.5927 QTP_Wetland_2020_chip_00690_lc0_G28_07_tp0518
 193. 0.5927 QTP_Wetland_2020_chip_01845_lc2_G34_11_tp0518
 194. 0.5926 QTP_Wetland_2020_chip_01264_lc3_G30_09_tp0518
 195. 0.5924 QTP_Wetland_2020_chip_00846_lc0_G35_08_tp0518
 196. 0.5919 QTP_Wetland_2020_chip_01946_lc1_G22_11_tp0518
 197. 0.5917 QTP_Wetland_2020_chip_00802_lc1_G35_07_tp0518
 198. 0.5911 QTP_Wetland_2020_chip_01915_lc1_G23_11_tp0518
 199. 0.5904 QTP_Wetland_2020_chip_01619_lc3_G07_10_tp0518
 200. 0.5903 QTP_Wetland_2020_chip_00707_lc1_G23_07_tp0518
 201. 0.5896 QTP_Wetland_2020_chip_02086_lc1_G31_13_tp0518
 202. 0.5893 QTP_Wetland_2020_chip_02072_lc1_G31_12_tp0518
 203. 0.5891 QTP_Wetland_2020_chip_00749_lc1_G24_07_tp0518
 204. 0.5880 QTP_Wetland_2020_chip_02124_lc0_G31_13_tp0518
 205. 0.5879 QTP_Wetland_2020_chip_00974_lc1_G33_08_tp0518
 206. 0.5876 QTP_Wetland_2020_chip_01123_lc1_G19_09_tp0518
 207. 0.5869 QTP_Wetland_2020_chip_01681_lc0_G12_10_tp0518
 208. 0.5865 QTP_Wetland_2020_chip_02059_lc3_G23_12_tp0518
 209. 0.5862 QTP_Wetland_2020_chip_01068_lc1_G22_08_tp0518
 210. 0.5859 QTP_Wetland_2020_chip_00544_lc1_G35_06_tp0518
 211. 0.5849 QTP_Wetland_2020_chip_01667_lc0_G14_10_tp0518
 212. 0.5843 QTP_Wetland_2020_chip_00730_lc1_G20_07_tp0518
 213. 0.5842 QTP_Wetland_2020_chip_01493_lc0_G30_09_tp0518
 214. 0.5840 QTP_Wetland_2020_chip_01565_lc0_G29_10_tp0518
 215. 0.5823 QTP_Wetland_2020_chip_01542_lc1_G13_10_tp0518
 216. 0.5822 QTP_Wetland_2020_chip_00830_lc2_G26_07_tp0518
 217. 0.5821 QTP_Wetland_2020_chip_01870_lc3_G25_11_tp0518
 218. 0.5810 QTP_Wetland_2020_chip_01666_lc1_G26_10_tp0518
 219. 0.5805 QTP_Wetland_2020_chip_01176_lc0_G30_09_tp0518
 220. 0.5804 QTP_Wetland_2020_chip_02087_lc1_G30_13_tp0518
 221. 0.5800 QTP_Wetland_2020_chip_02021_lc1_G22_12_tp0518
 222. 0.5794 QTP_Wetland_2020_chip_01359_lc2_G30_09_tp0518
 223. 0.5785 QTP_Wetland_2020_chip_01639_lc0_G14_10_tp0518
 224. 0.5781 QTP_Wetland_2020_chip_00758_lc0_G24_07_tp0518
 225. 0.5778 QTP_Wetland_2020_chip_01217_lc0_G31_09_tp0518
 226. 0.5770 QTP_Wetland_2020_chip_01235_lc0_G30_09_tp0518
 227. 0.5765 QTP_Wetland_2020_chip_01181_lc3_G17_09_tp0518
 228. 0.5763 QTP_Wetland_2020_chip_00938_lc0_G35_08_tp0518
 229. 0.5756 QTP_Wetland_2020_chip_01731_lc3_G33_10_tp0518
 230. 0.5748 QTP_Wetland_2020_chip_00940_lc0_G35_08_tp0518
 231. 0.5744 QTP_Wetland_2020_chip_00981_lc0_G26_08_tp0518
 232. 0.5738 QTP_Wetland_2020_chip_00791_lc0_G31_07_tp0518
 233. 0.5735 QTP_Wetland_2020_chip_01020_lc3_G32_08_tp0518
 234. 0.5728 QTP_Wetland_2020_chip_01670_lc3_G14_10_tp0518
 235. 0.5725 QTP_Wetland_2020_chip_01991_lc0_G20_11_tp0518
 236. 0.5710 QTP_Wetland_2020_chip_01220_lc1_G25_09_tp0518
 237. 0.5704 QTP_Wetland_2020_chip_00745_lc3_G28_07_tp0518
 238. 0.5703 QTP_Wetland_2020_chip_01442_lc0_G12_09_tp0518
 239. 0.5696 QTP_Wetland_2020_chip_01380_lc0_G12_09_tp0518
 240. 0.5695 QTP_Wetland_2020_chip_00851_lc0_G26_08_tp0518
